iter,games,net,AspirationDelta,AspirationWidenPct,RfpMargin,RfpMaxDepth,LmrMinDepth,LmrMinMoveIndex,LmrDepth6At,LmrDeepAt,HistoryBonusMultPct
194,16,+0.0000,121.45,146.35,94.49,8.30,2.00,3.23,4.73,10.34,97.55
195,16,+0.0000,121.45,146.35,94.49,8.30,2.00,3.23,4.73,10.34,97.55
196,16,-0.1250,121.61,146.44,94.43,8.28,2.01,3.23,4.73,10.33,97.62
197,16,-0.1875,121.85,146.56,94.53,8.31,2.03,3.24,4.75,10.30,97.52
198,16,-0.1250,122.01,146.48,94.60,8.29,2.02,3.25,4.74,10.32,97.45
199,16,+0.0000,122.01,146.48,94.60,8.29,2.02,3.25,4.74,10.32,97.45
200,16,+0.0000,122.01,146.48,94.60,8.29,2.02,3.25,4.74,10.32,97.45
201,16,+0.1250,121.85,146.56,94.66,8.27,2.03,3.26,4.75,10.33,97.52
202,16,+0.1250,122.01,146.65,94.73,8.26,2.02,3.26,4.74,10.35,97.58
203,16,+0.1250,121.85,146.56,94.80,8.24,2.01,3.27,4.73,10.33,97.52
204,16,+0.1250,122.01,146.48,94.73,8.22,2.02,3.28,4.74,10.32,97.45
205,16,-0.1875,121.78,146.36,94.83,8.20,2.00,3.29,4.75,10.34,97.55
206,16,+0.1875,121.54,146.23,94.93,8.17,2.00,3.28,4.74,10.32,97.65
207,16,-0.1250,121.70,146.31,94.99,8.16,2.01,3.27,4.75,10.33,97.58
208,16,+0.0000,121.70,146.31,94.99,8.16,2.01,3.27,4.75,10.33,97.58
209,16,+0.0625,121.62,146.27,95.03,8.15,2.00,3.27,4.75,10.33,97.55
210,16,-0.1875,121.39,146.40,94.93,8.17,2.02,3.26,4.76,10.35,97.65
211,16,+0.1250,121.54,146.31,94.86,8.19,2.02,3.25,4.77,10.37,97.58
212,16,+0.1875,121.77,146.19,94.77,8.21,2.01,3.24,4.76,10.39,97.48
213,16,+0.0625,121.70,146.23,94.73,8.22,2.01,3.23,4.76,10.40,97.45
214,16,-0.1250,121.54,146.15,94.67,8.21,2.02,3.22,4.77,10.38,97.52
215,16,+0.1250,121.39,146.23,94.60,8.22,2.01,3.22,4.76,10.40,97.58
216,16,+0.5625,120.70,145.87,94.89,8.29,2.00,3.25,4.73,10.33,97.87
217,16,+0.0625,120.77,145.83,94.86,8.30,2.00,3.25,4.73,10.32,97.90
218,16,+0.0000,120.77,145.83,94.86,8.30,2.00,3.25,4.73,10.32,97.90
219,16,+0.0625,120.85,145.79,94.89,8.29,2.00,3.25,4.73,10.33,97.94
220,16,+0.1875,120.62,145.67,94.99,8.32,2.02,3.26,4.75,10.30,98.03
221,16,+0.2500,120.32,145.83,94.86,8.35,2.03,3.25,4.76,10.33,97.91
222,16,-0.0625,120.40,145.87,94.83,8.34,2.04,3.25,4.76,10.34,97.87
223,16,+0.1250,120.55,145.95,94.89,8.33,2.04,3.24,4.75,10.36,97.81
224,16,+0.0625,120.47,145.91,94.93,8.32,2.04,3.24,4.75,10.35,97.78
225,16,-0.0625,120.55,145.95,94.96,8.33,2.04,3.24,4.76,10.36,97.81
226,16,-0.1875,120.32,146.07,95.05,8.35,2.02,3.23,4.75,10.33,97.71
227,16,-0.1875,120.10,145.95,95.15,8.33,2.04,3.22,4.73,10.36,97.81
228,16,+0.1250,119.95,145.87,95.08,8.34,2.04,3.21,4.73,10.34,97.87
229,16,+0.0625,119.87,145.83,95.12,8.35,2.04,3.21,4.73,10.35,97.84
